,SMILES,pChEMBL Value
189,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1-c1ccc(=O)n(C)c1,8.1
116,CC(=O)N1CCC(O)(c2cc(C)c3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,8.1
161,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2F)c2cc([C@]3(O)CC[C@@H](O)CC3)ccc2n1,8.1
95,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3F)c2cc1-c1ccc(=O)n(C)c1,8.1
195,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N4CCOCC4)CC3)ccc2n1,8.1
149,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3cnn(CC(=O)N(C)C)c3)ccc2n1,8.1
0,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(C)(C)O)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,8.1
77,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N4CCN(C)CC4)CC3)cc(C)c2n1,8.1
70,CONC(=O)CC(C)c1cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3)nc(C)nc2cc1C,8.1
165,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3ccc(=O)[nH]c3)ccc2n1,8.05
48,COCC(=O)N1CCC(O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,8.05
118,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1C1CCN(C(C)=O)CC1,8.05
52,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,8.05
201,COCCN(C)C(=O)[C@H]1CC[C@@H](c2ccc3nc(C)nc(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)c3c2)CC1,8.05
61,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2C)c2cc([C@]3(O)CC[C@@H](O)CC3)ccc2n1,8.05
145,CCn1cc(-c2cc3c(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)nc(C)nc3cc2OC)ccc1=O,8.05
164,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)[C@@H]4CCOC4)CC3)ccc2n1,8.05
133,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)[C@H]4CCOC4)CC3)ccc2n1,8.0
5,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@@H](O)CC3)ccc2n1,8.0
106,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1[C@]1(O)CC[C@@H](O)CC1,8.0
127,CNC(=O)CC(C)c1cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3)nc(C)nc2cc1C,8.0
208,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)CC(C)(C)O)CC3)ccc2n1,8.0
157,Cc1cccc([C@@H](C)Nc2nc(C)nc3cc(C)c(C4CCN(CC(=O)O)CC4)cc23)c1,8.0
197,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc([C@H]3CC[C@@H](C(=O)N(C)C)CC3)ccc2n1,8.0
120,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3CCN(CC(=O)O)CC3)ccc2n1,7.96
109,CC(=O)N1CC=C(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,7.96
93,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(C3=CCS(=O)(=O)CC3)cc(C)c2n1,7.96
66,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3CCN(CC(=O)N(C)C)CC3)ccc2n1,7.96
72,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1C1CCN(C(C)=O)CC1,7.92
173,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C(C)CC(=O)NC3CC3)c(C)cc2n1,7.92
64,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1O[C@H]1CCN(C(C)=O)C1,7.89
6,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[C@H](C(=O)N(C)C)CC4)cc23)c1,7.89
205,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(C)O)c3)c2cc1[C@H]1CC[C@H](C(=O)N(C)C)CC1,7.89
