,SMILES,pChEMBL Value
89,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc1Cl,6.0
90,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F,4.91
91,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@H]4CO)cc(Cl)cc32)cc(C)c1F,6.51
92,Cc1cc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc(C)c1F,4.92
93,CC[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1,5.21
94,CCC(CC)Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12,4.66
95,Brc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1,5.15
96,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CCN)cccc12)C1CC1,5.57
97,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(N3CCNCC3)cccc12)C1CC1,5.38
98,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3=CCN(C)CC3)cccc12)C1CC1,5.96
99,CCC[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1,5.6
100,Fc1ccc(Nc2nc(NCC3CCC3)c3ccccc3n2)cc1Cl,4.35
101,Fc1ccc(Nc2nc(NCC3CC3)c3ccccc3n2)cc1Cl,4.79
102,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3=CCNCC3)cccc12)C1CC1,5.74
103,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3CNC3)cccc12)C1CC1,5.52
104,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(NCCN)cccc12)C1CC1,5.18
105,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1,5.19
106,Fc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1Cl,4.88
107,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CN)cccc12)C1CC1,5.6
108,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CC3CNC3)cccc12)C1CC1,5.7
109,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(NCCN(C)C)cccc12)C1CC1,5.11
110,COc1cccc(/C=C2\NC(=S)N(/C=C3/C(=O)Oc4ccccc4C3=O)C2=O)c1O,4.56
111,O=C(O)c1ccccc1-c1c2ccccc2cc2c1ccc1ccccc12,4.82
112,O=C(O)c1cc2c3c(c1)C1CCCCC1CN3C(c1ccccc1)C1CC=CC21,4.36
113,O=C1Oc2ccccc2C(=O)/C1=C\N1C(=O)/C(=C/c2ccccc2O)NC1=S,4.31
114,CC1=CC(=O)/C(=C/N2C(=O)/C(=C/c3cccc(O)c3)SC2=S)C(=O)O1,4.97
115,O=C(O)c1cc2c3c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N3CC1CC=CC21,4.41
116,COc1ccc(/C=C2\NC(=S)N(/C=C3/C(=O)Oc4ccccc4C3=O)C2=O)cc1OC,4.08
117,O=C(O)c1ccccc1-c1c2ccc3cc(O)ccc3c2oc2c1ccc1cc(=O)ccc12,5.42
118,NC(=O)C(=CN1C(=O)/C(=C/c2ccc([N+](=O)[O-])cc2)SC1=S)C(N)=O,4.3
119,COc1ccccc1/C=C1\NC(=S)N(/C=C2/C(=O)Oc3ccccc3C2=O)C1=O,4.27
120,O=C1Oc2ccccc2C(=O)/C1=C\N1C(=O)/C(=C/c2ccccc2)NC1=S,4.34
121,CCCCCC1CCN2c3c1cc(C(=O)O)cc3C1C=CCC1C2c1ccc(Br)cc1,4.79
122,O=C(O)c1cc2c3c(c1)C1C=CCC1C(c1cccc([N+](=O)[O-])c1)N3CC1CC=CC21,4.4
123,O=[N+]([O-])c1ccccc1/C=C/C=C1c2ccccc2-c2ccccc21,4.6
124,O=C(O)c1cc2c3c(c1)C1C=CCC1C(c1ccccc1Cl)N3CC1CC=CC21,4.7
125,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CC3(CCNCC3)C2)c1,4.13
126,NS(=O)(=O)c1ccc(Nc2ccc(F)c(F)c2)cc1,4.85
127,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCCC2)c1,4.88
128,Clc1ccc2nc(CN3CCNCC3)oc2c1,2.72
129,NS(=O)(=O)c1ccc(Nc2ccc(F)cc2F)cc1,4.16
130,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CC3CNCC3C2)c1,4.61
131,NS(=O)(=O)c1ccc(Nc2ccc(F)c(F)c2)c(CN2CCNCC2)c1,4.72
132,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCCCC2)c1,4.06
133,NC1CN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)C1,5.09
134,Cc1nc([N+](=O)[O-])cn1Cc1ccc(F)cc1,2.92
135,NS(=O)(=O)c1ccc(Oc2ccc(F)c(F)c2)cc1,4.07
136,NCCc1cc(S(N)(=O)=O)ccc1Oc1ccc(F)c(Cl)c1,5.54
137,COCCN1CCN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)CC1,4.55
138,NCCCN1CCN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)CC1,4.2
139,Cc1cc(Nc2ccc(S(N)(=O)=O)cc2)cc(C)c1F,4.02
140,CCn1nnnc1NCc1cccc2ccccc12,2.85
141,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCN(C3CNC3)CC2)c1,4.1
142,NS(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,4.06
143,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCC3(CCNCC3)C2)c1,5.49
144,CN1CCN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)CC1,5.19
145,CC(C)N1CCN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)CC1,4.1
146,NS(=O)(=O)c1ccc(Oc2ccccc2)cc1,3.22
147,NS(=O)(=O)c1ccc(Nc2cc(F)cc(F)c2)cc1,4.61
148,NS(=O)(=O)c1ccc(Oc2ccc(F)c(F)c2)c(CN2CCNCC2)c1,5.0
