Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4208653,2400.0,5.62,370,Cc1ccc2nc(N3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2c1
CHEMBL4208983,7070.666666666667,5.15,178,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4cnc(N)nc4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4209338,330.0,6.48,786,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cccnc4)cc(Cl)cc32)cc(C)c1F
CHEMBL4209734,390.0,6.41,229,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4C(C)C)cc(Cl)cc32)cc(C)c1F
CHEMBL4209907,130.0,6.89,473,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCOCC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4209928,4100.0,5.39,557,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C)c3)c2cc1C
CHEMBL4210108,210.0,6.68,228,CCc1ccccc1-c1cc(Cl)cc2c1nc(N1CCNCC1)n2Cc1cc(C)c(F)c(C)c1
CHEMBL4210312,13845.333333333334,4.86,179,Cc1nc(N)ncc1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2Cc1ccc(F)cc1
CHEMBL4210407,1050.0,5.98,472,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccc(C(F)(F)F)cc4)cc(Cl)cc32)cc(C)c1F
CHEMBL4210420,240.0,6.62,367,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC(N)CC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4210563,8500.0,5.07,223,Cc1cc2nc(N3CCCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4210860,17533.333333333332,4.76,132,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4211544,8100.0,5.09,807,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C(F)(F)F)c3)c2cc1C
CHEMBL4212206,7600.0,5.12,94,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4C(C)C)cc(Cl)cc32)cc(C)c1F
CHEMBL4212337,36600.0,4.44,327,Cc1ccc(Cn2c(N3CCNCC3)nc3cc(C)c(C)cc32)cc1
CHEMBL4212509,1300.0,5.89,220,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(Br)cc32)cc1Cl
